enumeration,value
CC(*)C*,2.61
FC(*)C*,3.36
*C(F)(F)C*,3.37
C(F)(*)(C(F)*)F,3.06
FC(C(*)(F)F)(CC*)F,3.08
*OC*,3.72
*OCC*,3.15
O(C(C*)C(F)(F)F)*,2.7
C(CC*)O*,3.03
C(c1ccc(*)cc1)c1ccc(O*)cc1,3.5
C(OCO*)CCCC*,3.06
N(CCOCCOCCNC(OCC*)=O)C(O*)=O,3.53
c1c2c(nc(*)o2)cc2nc(-c3ccc(*)cc3)oc12,5.68
c1c(S*)ccc(*)c1,4.15
C(CCCC(=O)O*)C(OCC*)=O,3.25
C(CCCCCC(O*)=O)C(OCC*)=O,3.16
c1(C(OCC*)=O)ccc(C(=O)O*)cc1,3.82
c1cc(C(=O)OCCCC*)ccc1C(O*)=O,3.59
O=C(O*)C*,3.99
C(C(=O)O*)CCCC*,3.12
C(CC*)(=O)O*,3.39
*Oc1ccc(CC(=O)*)cc1,3.52
*Cc1ccc(C(=O)O*)cc1,4.03
C(CC*)(=O)N*,3.61
C(C(N*)=O)CCCCC*,3.34
O=C(N*)C*,4.01
c1(C(=O)*)cc(N*)ccc1,4.43
*Cc1ccc(C(=O)N*)cc1,3.96
C(Nc1cc(NC(OCCCCC*)=O)ccc1C)(=O)O*,3.72
O=C1N(CCCCCC*)C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(*)C4=O)=O)cc21,3.79
*OC(=O)c1ccc(C(=O)*)cc1,5.0
O(C(O*)=O)CCCCC*,3.09
*Oc1ccc(OC(=O)*)cc1,3.95
C(CC*)N*,3.03
*c1ccc(C(=O)c2ccc(O*)cc2)cc1,4.32
c1c(*)ccc(*)c1,4.48
c1(-c2ccc(*)cc2)ccc(CC*)cc1,3.58
*OC1C(CO)OC(*)C(O)C1O,3.78
C(O*)c1ccc(C*)cc1,3.47
O(C(O*)=O)CCOCC*,3.32
C(F)(F)(C(C(F)(F)F)(CC*)O*)F,3.05
O=C(*)c1ccc(-c2ccc(O*)cc2)cc1,4.1
c1c(N*)ccc(*)c1,5.52
c1cc(*)nc(*)c1,4.35
c1(C(CC(CC(c2ccccc2)CC(c2ccccc2)C*)c2ccccc2)*)ccccc1,2.71
c12oc(*)nc1ccc(-c1oc3ccc(*)cc3n1)c2,4.77
c1(C*)ccc(C*)cc1,3.97
C(CCCC(=O)OCCCC(OCCCCCCCCC(OCCC*)=O)=O)CCCCOC(=O)*,3.05
*C(CC(CC(c1ccccn1)C*)c1ccccn1)c1ccccn1,3.19
s1c(-c2sc(O*)cc2)ccc1-c1ccc(*)s1,5.59
c1c(-c2ccc(*)s2)sc(OC(*)=S)c1,5.88
C(=S)(c1sc(O*)cc1)c1ccc(*)s1,4.89
*C(OC(c1ccc(*)s1)=S)=S,6.22
O(c1sc(*)cc1)c1sc(O*)cc1,3.9
c1cc(*)sc1OC(=S)O*,4.48
s1c(*)ccc1-c1sc(-c2ccc(-c3ccc(*)cc3)s2)cc1,8.85
*c1ccc(-c2sc(-c3sc(O*)cc3)cc2)cc1,5.17
c1(*)ccc(-c2ccc(-c3ccc(-c4ccc(*)cc4)s3)cc2)s1,4.25
c1c(*)ccc(-c2ccc(-c3ccc(C(*)=S)cc3)s2)c1,5.87
c1cc(-c2sc(-c3ccc(O*)cc3)cc2)ccc1*,4.91
*c1sc(C(=S)c2ccc(-c3ccc(*)cc3)s2)cc1,9.09
*c1ccc(Oc2ccc(-c3ccc(*)cc3)s2)s1,5.22
c1c(-c2ccc(*)cc2)sc(OC(*)=S)c1,5.67
c1cc(-c2ccc(-c3sc(O*)cc3)cc2)ccc1*,5.01
c1c(*)sc(-c2ccc(-c3ccc(-c4ccc(*)cc4)cc3)cc2)c1,5.39
c1cc(*)ccc1-c1ccc(-c2ccc(C(*)=S)cc2)cc1,4.57
c1c(-c2ccc(-c3ccc(O*)cc3)cc2)ccc(*)c1,3.87
*c1ccc(-c2ccc(C(=S)O*)cc2)cc1,4.56
c1(*)ccc(C(c2sc(C(*)=S)cc2)=S)cc1,6.78
C(=S)(c1sc(O*)cc1)c1ccc(*)cc1,4.54
c1cc(C(*)=S)ccc1C(c1ccc(*)cc1)=S,3.8
*c1ccc(C(=S)c2ccc(O*)cc2)cc1,4.95
*C(OC(c1ccc(*)cc1)=S)=S,5.52
O(c1ccc(*)cc1)c1sc(O*)cc1,3.82
C(=S)(Oc1ccc(*)cc1)c1ccc(*)s1,5.49
*OC(=S)Oc1ccc(*)cc1,4.1
s1c(-c2sc(C*)cc2)ccc1-c1ccc(*)s1,4.39
c1(-c2sc(C*)cc2)ccc(C(*)=S)s1,5.34
c1(-c2sc(C*)cc2)ccc(O*)s1,4.19
*c1ccc(-c2ccc(-c3sc(C*)cc3)cc2)s1,3.91
c1(-c2sc(C*)cc2)ccc(C(*)=S)cc1,4.8
c1(-c2sc(C*)cc2)ccc(O*)cc1,4.05
C(c1sc(*)cc1)c1sc(C*)cc1,3.65
C(C(=S)*)c1sc(C*)cc1,3.57
C(=O)(c1sc(C*)cc1)c1ccc(*)s1,4.69
*Cc1sc(C(=O)C(*)=S)cc1,4.34
C(=O)(c1sc(C*)cc1)O*,4.17
C(=S)(c1sc(C*)cc1)c1ccc(*)s1,4.36
C(=S)(c1sc(C*)cc1)O*,4.71
N(c1sc(*)cc1)c1sc(C*)cc1,3.83
N(C(=S)*)c1sc(C*)cc1,4.42
c1(NO*)ccc(C*)s1,4.04
O(c1sc(*)cc1)c1sc(C*)cc1,3.63
O(C(=S)*)c1sc(C*)cc1,4.25
*c1ccc(-c2sc(-c3ccc(C*)cc3)cc2)s1,4.02
c1cc(-c2sc(-c3ccc(C*)cc3)cc2)ccc1*,3.99
c1(-c2ccc(C*)cc2)ccc(C(*)=S)s1,4.61
s1c(-c2ccc(-c3ccc(C*)cc3)cc2)ccc1*,4.21
c1c(-c2ccc(-c3ccc(C*)cc3)cc2)ccc(*)c1,3.67
S=C(*)c1ccc(-c2ccc(C*)cc2)cc1,4.45
c1(-c2ccc(C*)cc2)ccc(O*)cc1,3.79
C(c1sc(*)cc1)c1ccc(C*)cc1,3.4
C(c1ccc(*)cc1)c1ccc(C*)cc1,3.41
*Cc1ccc(CC(=S)*)cc1,3.68
C(=O)(c1ccc(C*)cc1)c1ccc(*)s1,4.07
*c1ccc(C(=O)c2ccc(C*)cc2)cc1,3.96
*Cc1ccc(C(=O)C(=S)*)cc1,4.22
C(=S)(c1ccc(C*)cc1)c1ccc(*)s1,4.17
*c1ccc(C(=S)c2ccc(C*)cc2)cc1,4.09
*Cc1ccc(C(=S)O*)cc1,3.95
N(c1sc(*)cc1)c1ccc(C*)cc1,4.02
N(c1ccc(*)cc1)c1ccc(C*)cc1,3.94
*Cc1ccc(NC(=S)*)cc1,4.11
O(c1sc(*)cc1)c1ccc(C*)cc1,3.59
*Cc1ccc(OC(=S)*)cc1,3.66
c1(-c2sc(*)cc2)sc(CC*)cc1,3.82
c1(C(=S)*)sc(CC*)cc1,4.38
c1c(O*)sc(CC*)c1,3.63
c1(-c2sc(*)cc2)ccc(CC*)cc1,3.75
*CCc1ccc(C(=S)*)cc1,3.9
c1(O*)ccc(CC*)cc1,3.46
c1cc(*)sc1CCC*,3.2
c1c(*)ccc(CCC*)c1,3.14
C(CC*)C(=O)*,3.27
C(CC*)C(=S)*,3.29
c1cc(*)sc1C(CC*)=O,4.12
*CCC(c1ccc(*)cc1)=O,3.81
C(=O)(CC*)C(=S)*,4.76
C(CC*)(=S)O*,3.71
c1cc(*)sc1NCC*,3.76
c1c(*)ccc(NCC*)c1,3.54
N(CC*)C(=S)*,4.24
O(CC*)N*,3.46
c1c(-c2ccc(*)s2)sc(C(=O)C*)c1,4.89
c1c(-c2ccc(*)cc2)sc(C(=O)C*)c1,4.58
*CC(=O)c1sc(C(*)=O)cc1,4.49
*CC(=O)c1sc(C(*)=S)cc1,4.78
c1c(O*)sc(C(=O)C*)c1,4.43
c1c(-c2ccc(*)s2)ccc(C(=O)C*)c1,4.71
*c1ccc(-c2ccc(C(=O)C*)cc2)cc1,3.96
*CC(=O)c1ccc(C(=O)*)cc1,4.2
*CC(=O)c1ccc(C(=S)*)cc1,4.71
*CC(=O)c1ccc(O*)cc1,3.8
c1cc(*)sc1CC(=O)C*,3.59
*CC(=O)Cc1ccc(*)cc1,3.64
O=C(CC(=O)*)C*,3.79
O=C(CC(=S)*)C*,3.82
O=C(CO*)C*,3.7
*CC(=O)C(c1ccc(*)s1)=S,4.85
*CC(=O)C(c1ccc(*)cc1)=S,4.62
O=C(C(C(*)=O)=S)C*,6.33
O=C(C(O*)=S)C*,4.8
c1cc(*)sc1NC(=O)C*,4.12
*CC(=O)Nc1ccc(*)cc1,4.03
O=C(NC(=O)*)C*,4.4
O=C(NC(=S)*)C*,4.69
c1cc(*)sc1OC(=O)C*,3.92
O=C(OC(=O)*)C*,3.95
O=C(OC(=S)*)C*,3.78
*CC(=S)c1sc(C(*)=S)cc1,6.4
c1c(O*)sc(C(=S)C*)c1,5.64
*CC(=S)c1ccc(N*)cc1,5.48
*CC(=S)c1ccc(O*)cc1,4.45
S=C(CC(=S)*)C*,3.96
S=C(CO*)C*,4.16
S=C(C(C(*)=S)=O)C*,5.61
S=C(C(O*)=O)C*,4.54
S=C(NC(=S)*)C*,5.73
S=C(NO*)C*,5.15
S=C(OC(=S)*)C*,4.36
c1(-c2ccc(*)cc2)sc(NC*)cc1,4.18
c1(C(=O)*)sc(NC*)cc1,5.29
c1(C(=S)*)sc(NC*)cc1,6.19
c1c(N*)sc(NC*)c1,4.18
c1c(O*)sc(NC*)c1,4.2
c1(-c2sc(*)cc2)ccc(NC*)cc1,4.42
*CNc1ccc(C(=O)*)cc1,4.8
c1(N*)ccc(NC*)cc1,4.2
c1(O*)ccc(NC*)cc1,4.14
c1cc(*)sc1CNC*,3.53
c1c(*)ccc(CNC*)c1,3.37
C(NC*)C(=O)*,3.5
C(NC*)C(=S)*,3.85
C(NC*)N*,3.29
C(NC*)O*,3.53
c1cc(*)sc1C(NC*)=O,4.11
C(=O)(NC*)C(=S)*,5.23
c1cc(*)sc1C(NC*)=S,4.55
*CNC(c1ccc(*)cc1)=S,3.99
C(=S)(NC*)C(=O)*,5.35
C(NC*)(=S)N*,5.58
C(NC*)(=S)O*,4.57
c1cc(*)sc1ONC*,3.82
c1c(*)ccc(ONC*)c1,3.65
O(NC*)C(=S)*,3.89
O(NC*)N*,3.62
c1(-c2ccc(*)cc2)sc(OC*)cc1,4.15
c1c(O*)sc(OC*)c1,3.85
c1(O*)ccc(OC*)cc1,3.8
C(OC*)(=O)O*,3.73
C(OC*)(=S)O*,4.34
N(OC*)C(=O)*,4.13
N(OC*)O*,4.25
c1(*)sc(-c2ccc(-c3sc(C(*)=O)cc3)s2)cc1,8.28
c1(-c2sc(C(*)=S)cc2)sc(C(*)=O)cc1,6.5
c1(-c2sc(O*)cc2)ccc(C(*)=O)s1,5.23
*c1sc(-c2ccc(-c3sc(C(*)=O)cc3)cc2)cc1,7.44
*C(c1ccc(-c2sc(C(*)=O)cc2)cc1)=S,5.9
c1(-c2ccc(O*)cc2)ccc(C(*)=O)s1,5.45
c1(C(c2ccc(*)s2)=O)sc(C(*)=O)cc1,7.04
*C(c1sc(C(C(*)=S)=O)cc1)=O,6.61
*OC(=O)c1sc(C(*)=O)cc1,4.57
*OC(=S)c1sc(C(*)=O)cc1,5.45
c1(Oc2ccc(*)s2)sc(C(*)=O)cc1,5.0
*C(c1sc(OC(*)=S)cc1)=O,6.41
c1c(*)ccc(-c2ccc(-c3ccc(C(*)=O)cc3)s2)c1,5.86
c1(-c2sc(O*)cc2)ccc(C(*)=O)cc1,4.73
c1cc(*)ccc1-c1ccc(-c2ccc(C(*)=O)cc2)cc1,4.43
c1cc(C(*)=O)ccc1-c1ccc(C(*)=S)cc1,5.49
c1(*)ccc(C(c2ccc(C(*)=O)cc2)=O)s1,4.76
c1cc(C(*)=O)ccc1C(c1ccc(*)cc1)=O,4.54
c1(C(C(=S)*)=O)ccc(C(*)=O)cc1,5.0
*OC(=S)c1ccc(C(=O)*)cc1,5.24
c1(Oc2ccc(*)s2)ccc(C(*)=O)cc1,4.79
*C(c1ccc(OC(=S)*)cc1)=O,5.05
C(=S)(C(*)=O)OC(*)=S,6.46
*C(Oc1sc(C(*)=S)cc1)=O,5.33
O(C(=O)*)c1sc(O*)cc1,4.26
*C(Oc1ccc(C(=S)*)cc1)=O,4.83
O=C(OC(=O)*)O*,4.67
S=C(OC(=O)*)O*,4.16
s1c(-c2sc(N*)cc2)ccc1-c1ccc(*)s1,7.17
c1(-c2sc(C*)cc2)ccc(N*)s1,4.54
c1(-c2sc(N*)cc2)ccc(C(*)=O)s1,7.09
c1(-c2sc(N*)cc2)ccc(C(*)=S)s1,8.62
*c1ccc(-c2ccc(-c3sc(N*)cc3)cc2)s1,6.83
c1(-c2sc(N*)cc2)ccc(C(*)=S)cc1,5.47
C(=O)(c1sc(N*)cc1)c1ccc(*)s1,8.01
*Nc1sc(C(=O)C(*)=S)cc1,7.64
C(=S)(c1sc(N*)cc1)c1ccc(*)s1,6.36
C(=S)(c1sc(N*)cc1)c1ccc(*)cc1,6.46
N(c1sc(*)cc1)c1sc(N*)cc1,4.34
N(C(=S)*)c1sc(N*)cc1,5.78
O(c1sc(*)cc1)c1sc(N*)cc1,4.14
O(C(=S)*)c1sc(N*)cc1,5.02
*c1ccc(-c2sc(-c3ccc(N*)cc3)cc2)s1,4.74
c1cc(-c2sc(-c3ccc(N*)cc3)cc2)ccc1*,5.91
c1(-c2ccc(N*)cc2)ccc(C(*)=S)s1,6.84
s1c(-c2ccc(-c3ccc(N*)cc3)cc2)ccc1*,5.94
c1c(-c2ccc(-c3ccc(N*)cc3)cc2)ccc(*)c1,4.29
c1(-c2ccc(C*)cc2)ccc(N*)cc1,4.35
S=C(*)c1ccc(-c2ccc(N*)cc2)cc1,4.84
c1(-c2ccc(N*)cc2)ccc(O*)cc1,4.41
C(=O)(c1ccc(N*)cc1)c1ccc(*)s1,6.11
*Nc1ccc(C(=O)C(=S)*)cc1,5.95
*Nc1ccc(C(=O)O*)cc1,4.61
*c1ccc(C(=S)c2ccc(N*)cc2)cc1,6.72
N(c1sc(*)cc1)c1ccc(N*)cc1,5.07
N(O*)c1ccc(N*)cc1,4.2
O(c1sc(*)cc1)c1ccc(N*)cc1,4.14
O(c1ccc(*)cc1)c1ccc(N*)cc1,4.38
*Nc1ccc(OC(=S)*)cc1,4.5
c1c(-c2ccc(*)cc2)sc(C(=O)N*)c1,5.9
*NC(=O)c1sc(C(*)=O)cc1,5.39
*NC(=O)c1sc(C(*)=S)cc1,6.12
c1c(O*)sc(C(=O)N*)c1,4.85
c1c(-c2ccc(*)s2)ccc(C(=O)N*)c1,5.23
*c1ccc(-c2ccc(C(=O)N*)cc2)cc1,4.85
*NC(=O)c1ccc(C(=S)*)cc1,5.0
*NC(=O)c1ccc(O*)cc1,4.32
*NC(=O)C(c1ccc(*)s1)=S,8.51
*NC(=O)C(c1ccc(*)cc1)=S,5.85
O=C(C(C(*)=O)=S)N*,6.53
O=C(C(O*)=S)N*,6.14
c1cc(*)sc1NC(=O)N*,4.94
*NC(=O)Nc1ccc(*)cc1,4.69
O=C(NC(=O)*)N*,5.39
O=C(NC(=S)*)N*,7.36
O=C(NO*)N*,5.14
c1cc(*)sc1OC(=O)N*,4.64
*NC(=O)Oc1ccc(*)cc1,4.54
O=C(OC(=S)*)N*,5.76
*NC(=S)c1sc(C(*)=S)cc1,6.57
c1c(O*)sc(C(=S)N*)c1,5.61
*NC(=S)c1ccc(O*)cc1,4.57
S=C(C(O*)=O)N*,6.34
*NC(=S)Nc1ccc(*)cc1,5.66
S=C(NC(=S)*)N*,6.08
S=C(NO*)N*,6.07
S=C(OC(=S)*)N*,6.0
c1(O*)ccc(ON*)cc1,4.11
C(ON*)(=O)O*,4.3
C(ON*)(=S)O*,5.13
c1cc(NC(=S)N*)ccc1NC(Nc1ccc(Oc2ccc(*)cc2)cc1)=S,5.43
c1cc(NC(=S)N*)ccc1NC(Nc1ccc(Cc2ccc(*)cc2)cc1)=S,4.55
*c1ccc(Cc2ccc(NC(=S)N*)cc2)cc1,4.19
C(Nc1cc(NC(OCCOCC*)=O)ccc1C)(=O)O*,3.82
*C(NC(c1ccc(*)cc1)=O)=O,4.45
O=C(OC(=O)*)N*,5.35
c1cc(OC(CC(CCO*)=O)=O)ccc1*,3.67
c1(N*)ccc(C(NC(OCC*)=S)=S)cc1,5.17
C(OCO*)CCNC*,3.54
*CNCNC(NC(=O)N*)=O,3.92
C(OCO*)NC(NC*)=O,4.22
*CNC(ONC(NO*)=O)=O,4.65
C(CCO*)OCOC*,3.51
C(=O)(NCCNC*)OC*,3.67
c1(Nc2sc(OC(=S)Nc3sc(C(*)=O)cc3)cc2)ccc(*)s1,5.35
*NOC(NCC(NC(=O)*)=O)=O,5.02
*NCCCNC(=O)NC(=O)*,4.19
N(C(=O)NC(Nc1sc(N*)cc1)=O)C(=O)*,5.34
*NCNC(OC(NC(=O)*)=O)=O,4.67
O(NC(=O)*)CCCCO*,3.69
*C(ONC(c1ccc(C(=O)c2ccc(O*)cc2)s1)=O)=O,4.55
s1c(C(F)(F)*)ccc1C(F)(F)c1sc(*)cc1,4.41
c1(C(F)(F)C(*)=S)ccc(C(*)(F)F)s1,3.9
c1cc(C(F)(*)F)sc1C(F)(F)O*,3.93
FC(F)(c1ccc(C(F)(F)c2sc(*)cc2)cc1)*,4.0
FC(F)(c1ccc(C(F)(F)c2ccc(*)cc2)cc1)*,3.82
c1(C(F)(F)C(*)=S)ccc(C(*)(F)F)cc1,3.7
c1cc(C(F)(*)F)ccc1C(F)(F)O*,3.68
c1(C(F)(C(*)(F)F)F)sc(C(*)=S)cc1,4.44
C(F)(C(F)(*)F)(c1sc(O*)cc1)F,3.9
FC(C(F)(F)c1ccc(-c2sc(*)cc2)cc1)(F)*,3.57
FC(C(F)(F)c1ccc(-c2ccc(*)cc2)cc1)(F)*,3.97
c1(C(C(*)(F)F)(F)F)ccc(C(*)=S)cc1,4.33
C(F)(C(F)(*)F)(c1ccc(O*)cc1)F,3.63
C(F)(C(F)(*)F)(Cc1ccc(*)s1)F,3.59
C(F)(C(F)(*)F)(Cc1ccc(*)cc1)F,3.38
FC(C(F)(F)*)(CC(*)=O)F,3.37
FC(C(F)(F)*)(CC(*)=S)F,3.81
FC(C(*)(F)F)(CN*)F,4.32
FC(C(*)(F)F)(CO*)F,3.5
O=C(C(F)(C(*)(F)F)F)c1ccc(*)s1,3.93
O=C(C(C(*)(F)F)(F)F)c1ccc(*)cc1,3.85
*C(C(C(F)(F)C(*)(F)F)=O)=S,4.75
FC(C(F)(F)*)(F)C(=S)O*,3.68
C(F)(C(F)(*)F)(Nc1ccc(*)s1)F,4.5
C(F)(C(F)(*)F)(Nc1ccc(*)cc1)F,3.92
FC(C(F)(F)*)(NC(*)=O)F,3.53
FC(C(F)(F)*)(NC(*)=S)F,3.81
FC(C(*)(F)F)(ON*)F,3.73
FC(F)(c1ccc(*)s1)CC(F)(*)F,3.75
FC(F)(c1ccc(*)cc1)CC(F)(*)F,3.47
C(C(F)(F)*)C(F)(F)C(*)=O,3.64
C(C(F)(F)*)C(F)(F)C(*)=S,3.78
C(C(*)(F)F)C(F)(F)N*,3.9
C(C(*)(F)F)C(F)(F)O*,3.47
*C(C(C(=O)C(*)(F)F)(F)F)=O,3.77
O=C(C(F)(F)*)C(F)(F)O*,3.55
S=C(C(F)(F)*)C(F)(F)O*,3.6
FC(F)(c1ccc(*)s1)NC(F)(*)F,4.48
FC(F)(c1ccc(*)cc1)NC(F)(*)F,3.77
N(C(F)(F)*)C(F)(F)C(*)=O,4.75
N(C(F)(F)*)C(F)(F)C(*)=S,4.49
N(C(*)(F)F)C(F)(F)N*,4.43
N(C(*)(F)F)C(F)(F)O*,4.04
c1(*)ccc(-c2sc(-c3ccc(-c4ccc(*)cc4)cc3)cc2)s1,7.13
c1c(*)ccc(-c2ccc(-c3sc(C(*)=S)cc3)cc2)c1,6.66
*c1sc(-c2ccc(C(=S)c3ccc(*)cc3)s2)cc1,8.4
c1(CO*)ccc(C*)s1,4.0
c1(C(c2ccc(*)s2)=S)sc(C(*)=O)cc1,6.22
*c1sc(-c2ccc(-c3ccc(C(*)=O)cc3)s2)cc1,5.1
*C(c1ccc(-c2ccc(C(*)=O)cc2)s1)=S,5.75
s1c(*)ccc1-c1ccc(-c2ccc(C(*)=O)cc2)cc1,6.15
c1(*)ccc(C(c2ccc(C(*)=O)cc2)=S)s1,5.13
c1cc(C(*)=O)ccc1C(c1ccc(*)cc1)=S,4.98
C(=O)(c1sc(N*)cc1)O*,6.18
S=C(Nc1ccc(NC(NCCCCCC*)=S)cc1)N*,4.17
c1c(-c2ccc(*)s2)sc(C(c2ccc(C(=O)NC(=O)N*)s2)=S)c1,6.31
s1c(C(c2sc(C(=S)C(Nc3ccc(-c4sc(*)cc4)cc3)=O)cc2)=S)ccc1*,7.03
c1cc(C(CO*)=S)sc1C(=S)Cc1ccc(-c2ccc(*)cc2)cc1,4.62
s1c(-c2ccc(C(c3sc(-c4sc(Nc5ccc(*)cc5)cc4)cc3)=S)s2)ccc1N*,6.88
c1(NC(=S)c2ccc(Nc3ccc(*)cc3)cc2)sc(C(=O)N*)cc1,6.07
*c1ccc(-c2ccc(CC(=O)OC(CC*)=O)cc2)cc1,3.47
N(C(NONC(=O)*)=O)c1sc(N*)cc1,6.1
*c1ccc(C(c2ccc(NCCC(=O)C(*)=S)cc2)=S)cc1,6.47
s1c(-c2sc(*)cc2)ccc1C(C(F)(F)*)(F)F,4.36
FC(C(F)(F)*)(F)C(=O)O*,3.31
FC(F)(c1ccc(*)s1)C(=O)C(*)(F)F,4.05
FC(F)(c1ccc(*)cc1)C(C(*)(F)F)=O,3.57
O(C(*)(F)F)C(F)(F)O*,3.8
